1,Reino Unido,uk
2,Estados Unidos,usa
3,Cuba,cu
4,Alemania,ger
5,Brasil,bra
6,Turquía,tur
7,Italia,ita
8,Argentina,arg
9,España,esp
10,Francia,fra
